datetime,actual,predicted
2018-01-01,40191.041666666664,37958.9545573078
2018-01-02,41627.333333333336,36401.530745505035
2018-01-03,40852.75,35948.70591192742
2018-01-04,41065.0,35912.91492427726
2018-01-05,44066.333333333336,36260.51473129995
2018-01-06,43565.75,36537.69635803528
2018-01-07,42159.708333333336,36697.65543938604
2018-01-08,40300.666666666664,36702.099161000355
2018-01-09,35337.375,36643.57282740394
2018-01-10,35223.875,36575.90923241115
2018-01-11,31735.208333333332,36539.34570531538
2018-01-12,29211.041666666668,36532.871977050956
2018-01-13,30532.666666666668,36544.71866814336
2018-01-14,36703.25,36559.16117189717
2018-01-15,39257.75,36568.31085894571
2018-01-16,36168.333333333336,36570.49637498609
2018-01-17,37451.208333333336,36568.4237539515
2018-01-18,38379.75,36565.265933986164
2018-01-19,35442.75,36563.100814584606
2018-01-20,30604.416666666668,36562.41508303171
2018-01-21,29108.125,36562.76015496426
2018-01-22,29872.041666666668,36563.428928881236
2018-01-23,29773.833333333332,36563.938095150515
2018-01-24,32071.458333333332,36564.13094733556
2018-01-25,34302.666666666664,36564.083327331
2018-01-26,34354.958333333336,36563.94376069721
2018-01-27,29843.791666666668,36563.82638637603
2018-01-28,27356.541666666668,36563.774738739296
2018-01-29,31443.833333333332,36563.778635362476
2018-01-30,34895.541666666664,36563.80704127425
2018-01-31,37180.125,36563.83371568817
2018-02-01,33615.458333333336,36563.84700514892
2018-02-02,35327.125,36563.84768800536
2018-02-03,35505.5,36563.84206477403
2018-02-04,32805.666666666664,36563.836096726605
2018-02-05,34204.791666666664,36563.83277436663
2018-02-06,35783.833333333336,36563.8322720265
2018-02-07,35824.75,36563.83334448826
2018-02-08,35158.125,36563.834659513224
2018-02-09,35460.125,36563.835470525126
2018-02-10,30496.708333333332,36563.835660523
2018-02-11,27919.916666666668,36563.83546632342
2018-02-12,30144.791666666668,36563.835181212344
2018-02-13,33038.458333333336,36563.83498718025
2018-02-14,31439.916666666668,36563.83492772557
2018-02-15,29138.375,36563.83496013296
2018-02-16,28378.958333333332,36563.8350208821
2018-02-17,30211.708333333332,36563.83506648197
2018-02-18,28892.041666666668,36563.83508342378
2018-02-19,31447.75,36563.835078788026
2018-02-20,28487.791666666668,36563.83506609387
2018-02-21,27572.5,36563.83505555143
2018-02-22,28859.208333333332,36563.835050993555
2018-02-23,30894.333333333332,36563.835051421825
2018-02-24,27537.0,36563.83505401495
2018-02-25,27246.041666666668,36563.8350564147
2018-02-26,29406.833333333332,36563.835057592885
2018-02-27,29694.041666666668,36563.83505763662
2018-02-28,28915.166666666668,36563.835057121345
2018-03-01,28720.208333333332,36563.835056583346
2018-03-02,30858.083333333332,36563.83505628785
2018-03-03,28436.791666666668,36563.835056246564
2018-03-04,27950.583333333332,36563.835056345364
2018-03-05,31451.458333333332,36563.83505646414
2018-03-06,31596.291666666668,36563.835056536474
2018-03-07,32257.333333333332,36563.835056552714
2018-03-08,31934.208333333332,36563.835056534685
2018-03-09,32586.833333333332,36563.83505650888
2018-03-10,30027.458333333332,36563.83505649153
2018-03-11,28279.458333333332,36563.835056486365
2018-03-12,32489.166666666668,36563.83505648941
2018-03-13,32829.916666666664,36563.83505649492
2018-03-14,33399.083333333336,36563.83505649901
2018-03-15,32337.208333333332,36563.835056500495
2018-03-16,31942.166666666668,36563.835056500044
2018-03-17,30140.833333333332,36563.83505649889
